Date,Month,Year,Net Sales (billions),Growth Rate
12-Jan,1,2012,7,11%
12-Feb,2,2012,,
12-Mar,3,2012,9.13,10%
12-Apr,4,2012,7.25,7%
12-May,5,2012,7.67,7%
12-Jun,6,2012,9.18,6%
12-Jul,7,2012,7.25,8%
12-Aug,8,2012,7.4,8%
12-Sep,9,2012,9.31,8%
12-Oct,10,2012,7.67,9%
12-Nov,11,2012,8.15,9%
12-Dec,12,2012,11.21,12%
13-Jan,1,2013,9.35,7%
13-Feb,2,2013,7.58,8%
13-Mar,3,2013,9.67,7%
13-Apr,4,2013,7.98,7%
13-May,5,2013,8.13,7%
13-Jun,6,2013,9.92,8%
13-Jul,7,2013,7.87,7%
13-Aug,8,2013,7.95,7%
13-Sep,9,2013,9.86,6%
13-Oct,10,2013,8.15,6%
13-Nov,11,2013,8.78,5%
13-Dec,12,2013,11.53,6%
14-Jan,1,2014,7.99,6%
14-Feb,2,2014,7.9,4%
14-Mar,3,2014,10.43,8%
14-Apr,4,2014,8.56,7%
14-May,5,2014,8.78,8%
14-Jun,6,2014,10.89,10%
14-Jul,7,2014,8.55,9%
14-Aug,8,2014,8.8,10%
14-Sep,9,2014,10.57,7%
14-Oct,10,2014,8.73,7%
14-Nov,11,2014,9.43,7%
14-Dec,12,2014,12.12,5%
15-Jan,1,2015,8.16,2%
15-Feb,2,2015,8.18,4%
15-Mar,3,2015,10.4,0%
15-Apr,4,2015,8.75,2%
15-May,5,2015,8.98,2%
15-Jun,6,2015,11.01,1%
15-Jul,7,2015,8.64,1%
15-Aug,8,2015,8.7,-1%
15-Sep,9,2015,10.75,2%
15-Oct,10,2015,8.78,1%
15-Nov,11,2015,9.68,3%
15-Dec,12,2015,12.45,3%
16-Jan,1,2016,8.32,2%
16-Feb,2,2016,8.28,1%
16-Mar,3,2016,10.71,3%
16-Apr,4,2016,8.98,3%
16-May,5,2016,9.23,3%
16-Jun,6,2016,11.33,3%
16-Jul,7,2016,8.65,0%
16-Aug,8,2016,8.9,2%
16-Sep,9,2016,11.06,3%
16-Oct,10,2016,9.11,4%
16-Nov,11,2016,9.95,3%
16-Dec,12,2016,13.07,5%
17-Jan,1,2017,9.08,9%
17-Feb,2,2017,8.92,8%
17-Mar,3,2017,11.64,9%
17-Apr,4,2017,9.42,5%
17-May,5,2017,9.86,7%
17-Jun,6,2017,12.17,7%
17-Jul,7,2017,9.41,9%
17-Aug,8,2017,9.8,10%
17-Sep,9,2017,12.4,12%
17-Oct,10,2017,10.02,10%
17-Nov,11,2017,11.26,13%
17-Dec,12,2017,14.94,14%
18-Jan,1,2018,12.24,8%
18-Feb,2,2018,10.21,13%
18-Mar,3,2018,12.92,11%
18-Apr,4,2018,10.81,13%
18-May,5,2018,11.02,14%
18-Jun,6,2018,13.55,12%
18-Jul,7,2018,10.59,10%
18-Aug,8,2018,11,12%
18-Sep,9,2018,13.64,10%
18-Oct,10,2018,11.16,11%
18-Nov,11,2018,12.77,10%
18-Dec,12,2018,15.42,8%
19-Jan,1,2019,10.71,8%
19-Feb,2,2019,10.72,7%
19-Mar,3,2019,13.87,7%
19-Apr,4,2019,11.6,7%
19-May,5,2019,11.67,6%
19-Jun,6,2019,14.57,8%
19-Jul,7,2019,11.43,8%
19-Aug,8,2019,11.79,7%
19-Sep,9,2019,14.41,6%
19-Oct,10,2019,11.92,7%
19-Nov,11,2019,13.62,7%
19-Dec,12,2019,17.04,11%
20-Jan,1,2020,11.57,8%
20-Feb,2,2020,12.2,11%
20-Mar,3,2020,15.49,12%
20-Apr,4,2020,11.39,-2%
20-May,5,2020,12.55,8%
20-Jun,6,2020,16.18,11%
20-Jul,7,2020,13.04,14%
20-Aug,8,2020,13.56,15%
20-Sep,9,2020,16.84,17%
20-Oct,10,2020,13.82,16%
20-Nov,11,2020,15.67,15%
20-Dec,12,2020,19.14,12%
21-Jan,1,2021,13.64,18%
21-Feb,2,2021,14.05,15%
21-Mar,3,2021,18.21,18%
21-Apr,4,2021,15.21,34%
21-May,5,2021,15.59,24%
21-Jun,6,2021,18.92,17%
